E10 7NL,,51.570312,-0.032224,536472,187550
E14 8AH,,51.509936,-0.029567,536837,180841
E15 3EP,,51.535035,0.012741,539696,183712
E15 3LE,,51.534446,0.007207,539314,183636
E15 3LF,,51.534446,0.007207,539314,183636
E16 4LB,,51.523115,0.011999,539681,182385
E2 8QU,,51.534206,-0.063571,534406,183477
E3 3GH,,51.530775,-0.029351,536790,183159
E5 9QB,,51.558806,-0.054635,534953,186229
E6 3SE,,51.521824,0.047086,542119,182309
E7 9QT,,51.537939,0.027938,540741,184064
E8 3BY,,51.544153,-0.073475,533690,184565
E9 5DX,,51.544056,-0.034555,536389,184626
N1 8RL,,51.538777,-0.09725,532057,183924
N11 3BU,,51.613264,-0.156014,527773,192103
N15 4UH,,51.58668,-0.068631,533901,189303
N16 7TL,,51.554034,-0.072813,533707,185665
N17 6HZ,,51.596852,-0.080198,533070,190413
N17 9TR,,51.597999,-0.067342,533957,190564
N18 1PU,,51.618317,-0.077501,533194,192805
N4 1BX,,51.571455,-0.096088,532043,187560
N4 2BD,,51.563678,-0.098981,531865,186690
N4 2BD,,51.563678,-0.098981,531865,186690
N4 2EH,,51.561377,-0.100693,531753,186431
N5 1PL,,51.551083,-0.105305,531463,185278
N5 2JB,,51.550428,-0.087649,532689,185237
N7 0NL,	,51.555772,-0.123964,530156,185766
N8 7AP,,51.590458,-0.119085,530395,189632
NW1 0PB,,51.536482,-0.132919,529590,183605
NW5 3EH,,51.547465,-0.1462,528638,184803
NW6 2AB,,51.544305,-0.194396,525305,184368
NW6 5YP,,51.530527,-0.197191,525149,182831
SE1 3BZ,,51.498902,-0.078943,533443,179523
SE10 8DF,,51.47276,-0.014668,537983,176735
SE14 6DN,,51.477189,-0.039,536280,177182
SE15 3EJ,,51.454783,-0.048352,535697,174673
SE15 3LF,,51.463216,-0.05961,534890,175590
SE15 4LB,,51.465147,-0.070888,534101,175784
SE15 6BE,,51.481173,-0.076995,533630,177555
SE17 1QS,,51.49129,-0.086336,532952,178663
SE18 7SX,,51.484437,0.078006,544382,178212
SE23 3LZ,,51.444386,-0.052048,535471,173510
SE25 6QY,,51.399672,-0.083003,533450,168481
SE26 5TH,,51.424775,-0.039245,536419,171353
SE26 6DP,,51.424022,-0.057215,535172,171236
SE28 8BB,,51.504042,0.120167,547246,180476
SE28 8NT,,51.507586,0.129036,547850,180888
SE4 2HU,,51.457006,-0.04201,536131,174932
SW10 0LA,,51.483172,-0.182597,526292,177590
SW10 9PB,,51.487499,-0.175151,526797,178084
SW17 9JJ,,51.420873,-0.159611,528062,170702
SW18 1NF,,51.452899,-0.206238,524733,174183
SW1P 1NL,,51.495768,-0.1417,529096,179062
SW3 3QG,,51.492117,-0.169161,527200,178608
SW4 7DH,,51.457213,-0.1307,529969,174794
SW4 7NY,,51.46035,-0.131162,529928,175142
SW4 OAQ,,51.463544,-0.150582,528570,175463
SW5 0NF,,51.493928,-0.186721,525976,178779
SW6 5QA,,51.478418,-0.200254,525079,177031
W12 0QU,,51.514627,-0.246345,521782,180980
W12 8HP,,51.503449,-0.228964,523018,179766
W12 9DN,,51.505409,-0.243312,522017,179960
W6 0PW,,51.497227,-0.228428,523072,179075
W8 6NX,,51.4945,-0.201119,524975,178818
W9 2PR,,51.52352,-0.18543,525984,182072
WC1X 0LR,,51.527033,-0.115631,530816,182585
WC2H 0BJ,51.512236,-0.12829,529980,180917